"citation_key","ENTRYTYPE","colrev_status","author","title","year","type","journal","doi"
"000011","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (PsycINFO).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00527"
"000012","article","no_status","Pittman Ratterree, Dana C.","The reproductive number of swine viral respiratory diseases: A Systematic review (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00517"
"000013","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (SocINDEX).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00528"
"000014","article","no_status","Pittman Ratterree, Dana C.","The reproductive number of swine viral respiratory diseases: A Systematic review (Web of Science Core Collection).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00518"
"000015","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Sociological Abstracts).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00529"
"000016","article","no_status","Ratterree, Dana C. Pittman","The reproductive number of swine viral respiratory diseases: A Systematic review.","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00519"
"000017","article","no_status","Austin, Rosalynn C. and Molland, Elisabeth H.","Restricted search: Factors that impact on research recruitment (Federated Search via Ovid of Three databases).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00516"
"000018","article","no_status","Vianna, Gabriela Vasconcellos de Barros and Malhão, Thainá Alves and Moreira, Luciana Grucci Maya and Machado, Paula Aballo Nunes and Melo, Maria Eduarda Leão Diogenes and Arguelhes, Bruna Pitasi and de Carvalho, Fabio Fortunato Brasil and Ferreira, Camila Belo Tavares and Chança, Raphael and Batista, Mayara Rodrigues","Evidence map on global interventions to reduce alcohol consumption (Medline).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00485"
"000019","article","no_status","Obeng-Gyasi, Barnabas and Craven, Hannah J.","Systematic Search: Early Post-traumatic Seizures and Post-Traumatic Epilepsy following Traumatic Brain Injury (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00513"
"000020","article","no_status","Obeng-Gyasi, Barnabas and Craven, Hannah J.","Systematic Search: Early Post-traumatic Seizures and Post-Traumatic Epilepsy following Traumatic Brain Injury (Cochrane Library).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00514"
"000021","article","no_status","Obeng-Gyasi, Barnabas and Craven, Hannah J.","Systematic Search: Early Post-traumatic Seizures and Post-Traumatic Epilepsy following Traumatic Brain Injury (Medline).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00515"
"000022","article","no_status","Whitney, Cory","Quick Scoping Review: Holistic model building - supporting decisions for risks in agroforestry investment (SpringerLink).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00508"
"000023","article","no_status","von Gernler, Marc and Metzger, Michael and Müller, Martin and Jakob, Dominik and Exadaktylos, Aristomenis and Brockhus, Lara","Diagnostic Accuracy for Predicting Aortic Injury from Widened Mediastinum on Chest X-ray in Adults with Blunt Trauma [Cochrane Library].","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00510"
"000024","article","no_status","von Gernler, Marc and Metzger, Michael and Müller, Martin and Jakob, Dominik and Exadaktylos, Aristomenis and Brockhus, Lara","Diagnostic Accuracy for Predicting Aortic Injury from Widened Mediastinum on Chest X-ray in Adults with Blunt Trauma [Ovid Embase].","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00511"
"000025","article","no_status","von Gernler, Marc and Metzger, Michael and Müller, Martin and Jakob, Dominik and Exadaktylos, Aristomenis and Brockhus, Lara","Diagnostic Accuracy for Predicting Aortic Injury from Widened Mediastinum on Chest X-ray in Adults with Blunt Trauma [Ovid MEDLINE].","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00512"
"000026","article","no_status","von Gernler, Marc and Metzger, Michael and Müller, Martin and Jakob, Dominik and Exadaktylos, Aristomenis and Brockhus, Lara","Diagnostic Accuracy for Predicting Aortic Injury from Widened Mediastinum on Chest X-ray in Adults with Blunt Trauma [CINAHL].","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00509"
"000027","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [ClinicalTrials.gov].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00119"
"000028","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [CINAHL].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00117"
"000029","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [ICTRP].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00118"
"000030","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [Ovid Embase].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00115"
"000031","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [Cochrane Library].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00116"
"000032","article","no_status","von Gernler, Marc and Vetsch, Thomas","Preoperative determination of the ventilatory efficiency (VE/VCO2) as a predictor for postoperative complications after major surgery [MEDLINE].","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00110"
"000033","article","no_status","Vianna, Gabriela Vasconcellos de Barros and Malhão, Thainá Alves and Moreira, Luciana Grucci Maya and Machado, Paula Aballo Nunes and Melo, Maria Eduarda Leão Diogenes and Arguelhes, Bruna Pitasi and de Carvalho, Fabio Fortunato Brasil and Ferreira, Camila Belo Tavares and Chança, Raphael and Batista, Mayara Rodrigues","Evidence map on global interventions to reduce processed meats consumption (Medline).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00505"
"000034","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (Ovid Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00490"
"000035","article","no_status","Dell, Colleen and Kosteniuk, Brynn and Doi, Carolyn and Chalmers, Darlene and Butt, Peter","The Role of the Human-Canine Bond in Recovery from Substance Use Disorder (Medline).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00506"
"000036","article","no_status","Hanchard, Matthew","Orphan Drug Pricing (Web of Science).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00507"
"000037","article","no_status","Capik, Sarah and McAllister, Hudson and Scott, Matthew and Crews, Molly","Impact of vaccination for respiratory disease on antibody titer responses, health, and performance in beef and dairy cattle (CAB ABSTRACTS).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00497"
"000038","article","no_status","Capik, Sarah and McAllister, Hudson and Scott, Matthew and Crews, Molly","Impact of vaccination for respiratory disease on antibody titer responses, health, and performance in beef and dairy cattle (AGRICOLA).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00498"
"000039","article","no_status","Capik, Sarah and McAllister, Hudson and Scott, Matthew and Crews, Molly","Impact of vaccination for respiratory disease on antibody titer responses, health, and performance in beef and dairy cattle (PROQUEST DISSERTATIONS & THESES).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00499"
"000040","article","no_status","Lopes-Garzón, Pedro and Gómez-Marco, Ana","Paediatric population treated by Emergency Medical Services: a scoping review (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00495"
"000041","article","no_status","Capik, Sarah and McAllister, Hudson and Scott, Matthew and Crews, Molly","Impact of vaccination for respiratory disease on antibody titer responses, health, and performance in beef and dairy cattle (MEDLINE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00496"
"000042","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (Web of Science).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00492"
"000043","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (Ovid MEDLINE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00491"
"000044","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (ICTRP).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00489"
"000045","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (Cochrane Library).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00488"
"000046","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (ClinicalTrials.gov).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00487"
"000047","article","no_status","von Gernler, Marc and Arigoni, Stefano and Engel, Dominique","Current evidence of multimodal anesthesia on postoperative outcomes (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00486"
"000048","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00494"
"000049","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (Agricola).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00500"
"000050","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (CINAHL Complete).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00501"
"000051","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (Google Scholar).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00502"
"000052","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (Web of Science Core Collection).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00503"
"000053","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (Web of Science Dissertations and Theses).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00504"
"000054","article","no_status","Robinson, Cayla and White, Brandi and Oonorasak, Kendra","DASH Diet for Low-Income African-American Women (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00493"
"000055","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (Web of Science Core Collection).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00475"
"000056","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (APA PsycArticles).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00479"
"000057","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00480"
"000058","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (Emerald Full Text).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00481"
"000059","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (JSTOR).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00482"
"000060","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (Nursing and Allied Health Database).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00483"
"000061","article","no_status","Burke, Freddy","Autonomy in Eating Disorder Treatment and Recovery (Scopus).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00484"
"000062","article","no_status","von Gernler, Marc and Singer, Adrian and Stute, Petra","The effect of different progestogens on the renin-angiotensin system (RAAS) (Ovid MEDLINE).","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00366"
"000063","article","no_status","Briones, Yumi L. and Tiangco, Narra Maria J. and Crisostomo, Isabel C. and Pascua, Beatrice Paula G. and Casiguran, Samantha Louise and Remenyi, Roland","Assessing the landscape of clinical trials involving bioprinting: a scoping review (ICTRP).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00466"
"000064","article","no_status","Briones, Yumi L. and Tiangco, Narra Maria J. and Crisostomo, Isabel C. and Pascua, Beatrice Paula G. and Casiguran, Samantha Louise and Remenyi, Roland","Assessing the landscape of clinical trials involving bioprinting: a scoping review (NIHCC).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00476"
"000065","article","no_status","Morrow, Elizabeth","Community resilience and health emergency communication (Web of Science Core Collection).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00477"
"000066","article","no_status","Barkelind, Malin","Psychosocial interventions for migrants with experiences of sexual violence and intimate partner violence (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00478"
"000067","article","no_status","Barkelind, Malin","Psychosocial interventions for migrants with experiences of sexual violence and intimate partner violence (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00470"
"000068","article","no_status","Clement, Patricia and Beun, Soetkin and Arzanforoosh, Fatemehsadat and Castellaro, Marco and Debiasi, Giulia and Emblem, Kyrre E. and Fuster-Garcia, Elies and Grech-Sollars, Matthew and Kallehauge, Jesper Folsted and Lazen, Philipp and Nunes, Rita G. and Ozturk-Isik, Esin and Pinto, Joana and Piskin, Senol and Robinson, Simon Daniel and Siugzdaite, Roma and Sollmann, Nico and Svensson, Siri Fløgstad and Warnert, Esther A. H. and Wiegers, Evita and Petr, Jan and Hangel, Gilbert","Advanced MRI processing for clinical glioma research (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00471"
"000069","article","no_status","Whipple, Elizabeth C. and Craven, Hannah J.","Systematic Search: Pediatric ventilator liberation, Continuous Positive Airway Pressure, and High-Flow Nasal Cannula (MEDLINE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00472"
"000070","article","no_status","Whipple, Elizabeth C. and Craven, Hannah J.","Systematic Search: Pediatric ventilator liberation, Continuous Positive Airway Pressure, and High-Flow Nasal Cannula (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00473"
"000071","article","no_status","Whipple, Elizabeth C. and Craven, Hannah J.","Systematic Search: Pediatric ventilator liberation, Continuous Positive Airway Pressure, and High-Flow Nasal Cannula (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00474"
"000072","article","no_status","Haddaway, Neal R. and Khadka, Ram and Chimwaza, Gracian and Moyo, Mercy and Mabhula, Marcia and Savilaakso, Sini","Plant breeding effectiveness in Bangladesh (AGRIS).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00469"
"000073","article","no_status","Stumpff, J.C. and Inderstrodt, Jill M. and Haggstrom, David","Systematic Search: Severe maternal morbidity and informatics (IEEE Xplore).","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00211"
"000074","article","no_status","Steurer, Beate and Schneider, Ulrike and Trukeschitz, Birgit","Applications of blockchain technology in long-term care: Use cases, potentials, and barriers (Scopus).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00467"
"000075","article","no_status","Haddaway, Neal R. and Khadka, Ram and Chimwaz, Gracian and Moyo, Mercy and Mabhula, Marcia and Savilaakso, Sini","Plant breeding effectiveness in Afghanistan (AGRIS).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00468"
"000076","article","no_status","Stumpff, J.C. and Inderstrodt, Jill and Haggstrom, David","Systematic Search: Severe maternal morbidity and informatics (Engineering Village).","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00212"
"000077","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (Clinicaltrials.gov).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00056"
"000078","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (Scopus).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00055"
"000079","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (Google Scholar).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00057"
"000080","article","no_status","Hinrichs, Rachel J.","Determinants of Health and Clinical Data (Web of Science Core Collection).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00052"
"000081","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (SPORTDiscus).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00054"
"000082","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (Embase).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00053"
"000083","article","no_status","Hinrichs, Rachel J.","Dietary Nitrate and Human Muscle Power (Medline).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00016"
"000084","article","no_status","Hinrichs, Rachel J.","Determinants of Health and Clinical Data (Medline).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00015"
"000085","article","no_status","Hinrichs, Rachel J.","Suicide Prevention and College Students (Medline).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00018"
"000086","article","no_status","Stumpff, Julia C.","Systematic Search: Pelvic Floor Myalgia and Myofascial Pelvic Pain Treatment (EMBASE).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00022"
"000087","article","no_status","Stumpff, Julia C.","Systematic Search: Lithium exposure and groundwater (Scopus)","2022","article","searchRxiv","10.1079/SEARCHRXIV/20220289932"
"000088","article","no_status","Stumpff, Julia C.","Systematic Search: Incarcerated patients and surgical outcomes (MEDLINE & EMBASE combined).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00014"
"000089","article","no_status","Stumpff, Julia C.","Systematic Search: Incarcerated patients and surgical outcomes (Cochrane CENTRAL).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00025"
"000090","article","no_status","Stumpff, Julia C.","Systematic Search: Lithium exposure and groundwater (MEDLINE & EMBASE combined).","2022","article","searchRxiv","10.1079/SEARCHRXIV/20220286417"
"000091","article","no_status","Stumpff, Julia C.","Systematic Search: Lithium exposure and groundwater (Cochrane CENTRAL)","2022","article","searchRxiv","10.1079/SEARCHRXIV/20220289931"
"000092","article","no_status","Stumpff, Julia C.","Systematic Search: Severe maternal morbidity and informatics (Cochrane CENTRAL).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00024"
"000093","article","no_status","Stumpff, Julia C.","Systematic Search: Pelvic Floor Myalgia and Myofascial Pelvic Pain Treatment (MEDLINE).","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00019"
"000094","article","no_status","Stumpff, Julia C.","Systematic Search: Severe maternal morbidity and informatics (MEDLINE & EMBASE combined)","2022","article","searchRxiv","10.1079/SEARCHRXIV.2022.00017"
"000095","article","no_status","Donelli, Davide and Antonelli, Michele and Gurgoglione, Filippo Luca and Lazzeroni, Davide and Niccoli, Giampaolo and Gaibazzi, Nicola","Effects of Left Bundle Branch Block on Echocardiographic Coronary Flow Assessment: A Review Protocol (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00465"
"000096","article","no_status","Savilaakso, Sini","Plant breeding effectiveness in Nepal (AGRIS).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00464"
"000097","article","no_status","Haddaway, Neal","Plant breeding effectiveness in Nepal (Agricola).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00461"
"000098","article","no_status","Kirengo, Thomas Onyango","Iliac crest bone grafts and hernia formation: insights from a case series and review of literature (PUBMED).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00462"
"000099","article","no_status","Kirengo, Thomas Onyango","Iliac crest bone grafts and hernia formation: insights from a case series and review of literature (EMBASE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00463"
"000100","article","no_status","Antonelli, Michele and Fasano, Federica and Pasquarella, Cesira","Balneotherapy and Cortisol Levels (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00454"
"000101","article","no_status","Robinson, Cayla and Robinson, Lauren and Fresenko, Lindsey","Utilization of Rehabilitative Services after ICU Discharge (CINAHL).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00455"
"000102","article","no_status","Robinson, Cayla and Robinson, Lauren and Fresenko, Lindsey","Utilization of Rehabilitative Services after ICU Discharge (PedRo).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00456"
"000103","article","no_status","Robinson, Cayla and Robinson, Lauren and Fresenko, Lindsey","Utilization of Rehabilitative Services after ICU Discharge (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00457"
"000104","article","no_status","Robinson, Cayla and Robinson, Lauren and Fresenko, Lindsey","Utilization of Rehabilitative Services after ICU Discharge (Web of Science).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00458"
"000105","article","no_status","Haddaway, Neal","Plant breeding effectiveness in Nepal (Google Scholar).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00459"
"000106","article","no_status","Savliaakso, Sini","Plant breeding effectiveness in Nepal (Proquest).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00460"
"000107","article","no_status","Wafford, Q. Eileen and Miller, Corinne H. and Wescott, Annie B. and Kubilius, Ramune K.","Immigrant Health (Broad) (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00451"
"000108","article","no_status","Wafford, Q. Eileen and Miller, Corinne H. and Wescott, Annie B. and Kubilius, Ramune K.","Immigrant Health (Focused) (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00452"
"000109","article","no_status","Sehtman-Shachar, Dvora Rywka and Mosenzon, Ofri and Yanuv, Ilan and Rozenberg, Aliza and Schechter, Meir and Fishkin, Alisa and Aharon-Hananel, Genya and Leibowitz, Gil","Normo-albuminuria- Is it normal? The association of urinary albumin within the ""normoalbuminuric"" range with adverse cardiovascular and mortality outcomes: a systematic review and meta-analysis. (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00447"
"000110","article","no_status","Aksornthong, Sirion and Patel, Priyesh and Komarova, Svetlana V.","Osteoclast related parameters in clinical and animal studies of subjects with Osteogenesis Imperfecta (MEDLINE).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00453"
"000111","article","no_status","Robinson, Cayla and Marcelletti, Anthony","Vestibular Schwannoma (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00449"
"000112","article","no_status","Robinson, Cayla and Marcelletti, Anthony","Vestibular Schwannoma (Embase).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00450"
"000113","article","no_status","Underwood, Emma","Patterns in range shift: a global systematic map of terrestrial vegetation studies (Scopus).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00443"
"000114","article","no_status","Maturana, Rocío and Faundez, Zabdiel and Bravo, Francisco and Gonzalez, Maria Inés and Suzuki, Kiyoko and Vargas, Juan Pablo and Verdugo, María Francisca and Ortuno, Duniel","Is the self-report of number of teeth in adults valid in compared to the traditional oral examination? (Epistemonikos).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00444"
"000115","article","no_status","Nilsen, Erlend B. and Grainger, Matthew and Simensen, Trond and Singsaas, Frode Thomassen and Sutcliffe, Thomas and Stokland, Håkon","Effects of land use and land cover changes on biodiversity, ecosystem services, and carbon storage in Norway: A systematic map and decision support tool (Web of Science).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00445"
"000116","article","no_status","Sehtman-Shachar, Dvora Rywka and Mosenzon, Ofri and Yanuv, Ilan and Rozenberg, Aliza and Schechter, Meir and Fishkin, Alisa and Aharon-Hananel, Genya and Leibowitz, Gil","Normo-albuminuria- Is it normal? The association of urinary albumin within the ""normoalbuminuric"" range with adverse cardiovascular and mortality outcomes: a systematic review and meta-analysis. (PubMed).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00446"
"000117","article","no_status","Nilsen, Erlend B. and Grainger, Matthew and Simensen, Trond and Singsaas, Frode Thomassen and Sutcliffe, Thomas and Stokland, Håkon","Effects of land use and land cover changes on biodiversity, ecosystem services, and carbon storage in Norway: A systematic map and decision support tool (Scopus).","2024","article","searchRxiv","10.1079/SEARCHRXIV.2024.00448"
"000118","article","no_status","Vakkalanka, J. Priyanka and Gadag, Khyathi and Lavin, Lauren and Ternes, Sara and Healy, Heather and Merchant, Kimberly and Scott, Wakina and Wiggins, Whitney and Ward, Marcia and Mohr, Nick","Telehealth use and health equity for mental health and substance use disorder during the COVID-19 Pandemic: A systematic review (CINAHL Plus).","2023","article","searchRxiv","10.1079/SEARCHRXIV.2023.00405"
